EVENT_ID,SOURCE,PROJECT,STATION,SAMPLE_DATE,SAMPLE_TIME,DEPTH,LAYER,SAMPLE_TYPE,SAMPLE_ID,PARAMETER,QUALIFIER,VALUE,UNIT,METHOD,LAB,PROBLEM,DETAILS,TOTAL_DEPTH,UPPER_PYCNOCLINE,LOWER_PYCNOCLINE,LAT,LONG
63909,MDDNR,TRIB,CB5.1W,2/8/2001,8:17,3,AP,ISM,M1,SALINITY,,17.45,PPT,F02,,,,9,,,38.32522,-76.37574
63909,MDDNR,TRIB,CB5.1W,2/8/2001,8:17,6,BP,ISM,M1,SALINITY,,17.93,PPT,F02,,,,9,,,38.32522,-76.37574
63909,MDDNR,TRIB,CB5.1W,2/8/2001,8:17,8,B,ISM,M1,SALINITY,,18.28,PPT,F02,,,,9,,,38.32522,-76.37574
64714,MDDNR,TRIB,CB5.1W,3/12/2001,8:22,0.5,S,ISM,M1,SALINITY,,16.43,PPT,F02,,,,9,,,38.32522,-76.37574
64714,MDDNR,TRIB,CB5.1W,3/12/2001,8:22,3,AP,ISM,M1,SALINITY,,16.43,PPT,F02,,,,9,,,38.32522,-76.37574
64714,MDDNR,TRIB,CB5.1W,3/12/2001,8:22,6,BP,ISM,M1,SALINITY,,16.7,PPT,F02,,,,9,,,38.32522,-76.37574
64714,MDDNR,TRIB,CB5.1W,3/12/2001,8:22,8,B,ISM,M1,SALINITY,,16.9,PPT,F02,,,,9,,,38.32522,-76.37574
64715,MDDNR,TRIB,CB5.1W,3/28/2001,8:50,0.5,S,ISM,M1,SALINITY,,15.47,PPT,F02,,,,9,,,38.32522,-76.37574
64715,MDDNR,TRIB,CB5.1W,3/28/2001,8:50,3,AP,ISM,M1,SALINITY,,15.47,PPT,F02,,,,9,,,38.32522,-76.37574
64715,MDDNR,TRIB,CB5.1W,3/28/2001,8:50,6,BP,ISM,M1,SALINITY,,15.75,PPT,F02,,,,9,,,38.32522,-76.37574
64715,MDDNR,TRIB,CB5.1W,3/28/2001,8:50,8,B,ISM,M1,SALINITY,,16.02,PPT,F02,,,,9,,,38.32522,-76.37574
64147,MDDNR,TRIB,CB5.1W,4/11/2001,9:08,0.5,S,ISM,M1,SALINITY,,13.59,PPT,F02,,,,9.5,,,38.32522,-76.37574
64147,MDDNR,TRIB,CB5.1W,4/11/2001,9:08,1,M,ISM,M1,SALINITY,,13.53,PPT,F02,,,,9.5,,,38.32522,-76.37574
64147,MDDNR,TRIB,CB5.1W,4/11/2001,9:08,2,M,ISM,M1,SALINITY,,13.53,PPT,F02,,,,9.5,,,38.32522,-76.37574
64147,MDDNR,TRIB,CB5.1W,4/11/2001,9:08,3,AP,ISM,M1,SALINITY,,13.53,PPT,F02,,,,9.5,,,38.32522,-76.37574
64147,MDDNR,TRIB,CB5.1W,4/11/2001,9:08,6,BP,ISM,M1,SALINITY,,13.93,PPT,F02,,,,9.5,,,38.32522,-76.37574
64147,MDDNR,TRIB,CB5.1W,4/11/2001,9:08,8,B,ISM,M1,SALINITY,,17.38,PPT,F02,,,,9.5,,,38.32522,-76.37574
64148,MDDNR,TRIB,CB5.1W,4/26/2001,10:12,0.5,S,ISM,M1,SALINITY,,13.13,PPT,F02,,,,9,,,38.32522,-76.37574
64148,MDDNR,TRIB,CB5.1W,4/26/2001,10:12,1,M,ISM,M1,SALINITY,,13.13,PPT,F02,,,,9,,,38.32522,-76.37574
64148,MDDNR,TRIB,CB5.1W,4/26/2001,10:12,2,M,ISM,M1,SALINITY,,13.13,PPT,F02,,,,9,,,38.32522,-76.37574
64148,MDDNR,TRIB,CB5.1W,4/26/2001,10:12,3,AP,ISM,M1,SALINITY,,13.13,PPT,F02,,,,9,,,38.32522,-76.37574
64148,MDDNR,TRIB,CB5.1W,4/26/2001,10:12,6,BP,ISM,M1,SALINITY,,13.13,PPT,F02,,,,9,,,38.32522,-76.37574
64148,MDDNR,TRIB,CB5.1W,4/26/2001,10:12,8,B,ISM,M1,SALINITY,,13.13,PPT,F02,,,,9,,,38.32522,-76.37574
